Company_name,Job_Title,Link_of_Job,Location,Time
Digixvalley LLC,Python Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_1b70b749&cb=1735046398471&jobListingId=1009552224264&jrtk=5-yul1-0-1ifsd60c2kuq6806-db1625700220f33a,Lahore,20d
DGB Technologies,Software Engineering for Research & Development,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_17fb63e0&cb=1735046398471&jobListingId=1008595444585&jrtk=5-yul1-0-1ifsd60c2kuq6806-9142938cc00d8a2f,Lahore,30d+
Devsinc,Software Engineer (AI/ML),https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_61328f41&cb=1735046398472&jobListingId=1009529238056&jrtk=5-yul1-0-1ifsd60c2kuq6806-0f364368ce56fb77,Lahore,30d+
RepHero Global,"Python Back-End Developer (APIs, Azure, Databases)",https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_701afab3&cb=1735046398472&jobListingId=1009567726037&jrtk=5-yul1-0-1ifsd60c2kuq6806-3e8a822417f5d4c8,Lahore,7d
Web Sketchers,Software Engineer – Node.js,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&cs=1_d99306e1&cb=1735046398471&jobListingId=1006129684624&jrtk=5-yul1-0-1ifsd60c2kuq6806-ae9b90f105181e57,Lahore,30d+
Trans Global Services,Looking for Experienced Back-End Developer(night shift),https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_7e417ea7&cb=1735046398472&jobListingId=1009531765161&jrtk=5-yul1-0-1ifsd60c2kuq6806-ae572641658d8d03,Lahore,30d+
Pak Logics,Senior Python Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_687a9445&cb=1735046398472&jobListingId=1009558643822&jrtk=5-yul1-0-1ifsd60c2kuq6806-cd0df06c6ceffef3,Lahore,14d
CodeNinja,SDET II - Automation for AI/ML,https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_c5ead995&cb=1735046398472&jobListingId=1009536028977&jrtk=5-yul1-0-1ifsd60c2kuq6806-9032a91bf5c83025,Lahore,30d+
CodeNinja,Automation Testing Lead - AI/ML,https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_3f403bea&cb=1735046398472&jobListingId=1009536028985&jrtk=5-yul1-0-1ifsd60c2kuq6806-6421803d3c5b9b1b,Lahore,30d+
Digixvalley LLC,Senior Python Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=00000193f8d300a6a0127d8ee8c9b74a&src=GD_JOB_AD&t=SR&vt=w&uido=CB6676D7221C15B46E0D7EC6655D6F0A&ea=1&cs=1_f944e610&cb=1735046398472&jobListingId=1009533289252&jrtk=5-yul1-0-1ifsd60c2kuq6806-6aa04273d99b790d,Lahore,30d+
